video_id,video_type,title,channel_name,url,view_count,comment_count,posted_date,
-aZxOFPUsUM,fanboy,BYD Sealion 7 - Very Fast & Feature Loaded SUV | Faisal Khan,Faisal Khan,https://www.youtube.com/watch?v=-aZxOFPUsUM,324000,413,17/02/25,
w_tCOgxXKwA,fanboy,Six months with a BYD Seal: It’s not what we expected!,Electrifying,https://www.youtube.com/watch?v=w_tCOgxXKwA,327000,1079,13/11/25,
hFNE51tURBU,critical,This is the problem with CHEAP cars,carwow,https://www.youtube.com/watch?v=hFNE51tURBU,1600000,4571,07/08/25,
WgyxArwhtcM,critical,9 Things I Hate About The BYD Seal,Kris Rifa,https://www.youtube.com/watch?v=WgyxArwhtcM,39000,135,27/02/25,
